city,lat,lng,population,city_clean
Neya,34.7661,135.6281,227997,Neya
Ageoshimo,35.9774,139.5932,226616,Ageoshimo
Ōta,36.2172,139.3513,224358,Ota
Atsugichō,35.4431,139.3625,223815,Atsugicho
Hachinohe,40.5123,141.4884,222799,Hachinohe
Takarazuka,34.7998,135.3601,221846,Takarazuka
Arakawa,35.7361,139.7834,217891,Arakawa
Isesaki,36.3209,139.1982,213303,Isesaki
Kure,34.2492,132.5657,212159,Kure
Taitō,35.7126,139.78,212038,Taito
Nagareyama,35.8556,139.8986,211620,Nagareyama
Nishitōkyō,35.7256,139.5383,207436,Nishitokyo
Matsue,35.4681,133.0485,201802,Matsue
Yachiyo,35.7224,140.0999,200538,Yachiyo
Higashi-Hiroshima,34.4264,132.7433,197347,Higashi-Hiroshima
Itami,34.7829,135.4162,197215,Itami
Kodaira,35.7285,139.4774,196959,Kodaira
Suzuka,34.882,136.5842,195250,Suzuka
Kamirenjaku,35.6836,139.5595,194460,Kamirenjaku
Kumagaya,36.1474,139.3886,193190,Kumagaya
Yamaguchi,34.1782,131.4735,191470,Yamaguchi
Hino,35.6713,139.3951,190598,Hino
Odawara,35.2646,139.1522,189038,Odawara
Anjōmachi,34.9587,137.0803,188801,Anjomachi
Kishiwada,34.4605,135.3709,188015,Kishiwada
Numazu,35.0956,138.8634,187653,Numazu
Tottori,35.4944,134.2216,187323,Tottori
Jōetsu,37.1479,138.2361,187291,Joetsu
Kōfu,35.6621,138.5682,187144,Kofu
Izuo,34.4832,135.4232,184299,Izuo
Toyokawa,34.8241,137.3944,183930,Toyokawa
Tachikawa,35.7139,139.4079,181115,Tachikawa
Uji,34.8844,135.7998,179626,Uji
Narashino,35.6813,140.0266,174990,Narashino
Sakura,35.7192,140.2296,173740,Sakura
Kamakurayama,35.3192,139.5472,172929,Kamakurayama
Hitachi,36.5991,140.6515,172709,Hitachi
Izumo,35.367,132.7547,171995,Izumo
Tomakomai,42.6341,141.6055,170223,Tomakomai
Urayasu,35.6531,139.902,169749,Urayasu
Chūō-ku,35.6706,139.772,169179,Chuo-ku
Nishio,34.8618,137.0618,168992,Nishio
Hirosaki,40.6031,140.4638,167803,Hirosaki
Oyama,36.3145,139.8001,167647,Oyama
Niiza,35.7935,139.5653,165997,Niiza
Takaoka,36.7541,137.0257,165880,Takaoka
Kushiro,42.9849,144.3817,165699,Kushiro
Iwata,34.7179,137.8515,165688,Iwata
Obihiro,42.924,143.1961,165684,Obihiro
Hadano,35.3747,139.2201,164292,Hadano
Ube,33.9516,131.2467,162873,Ube
Miyakonojō,31.7195,131.0617,160392,Miyakonojo
Matsuzaka,34.5779,136.5276,158472,Matsuzaka
Ōgaki,35.3647,136.6019,158386,Ogaki
Hitachi-Naka,36.3967,140.5347,155680,Hitachi-Naka
Daiwanishi,34.8892,135.4167,155165,Daiwanishi
Noda,35.9463,139.8589,154114,Noda
Tochigi,36.3824,139.7341,153508,Tochigi
Kariya,34.9893,137.0021,153178,Kariya
Ueda,36.4019,138.2491,152948,Ueda
Imabari,34.0661,132.9977,152111,Imabari
Kawashiri,34.8794,135.4092,152076,Kawashiri
Higashimurayama,35.7546,139.4685,150458,Higashimurayama
Kukichūō,36.0621,139.6668,150197,Kukichuo
Musashino,35.7177,139.5661,148971,Musashino
Sayama,35.853,139.4122,148474,Sayama
Komaki,35.2903,136.911,147897,Komaki
Tama,35.6369,139.4463,147252,Tama
Yonago,35.4282,133.3309,147210,Yonago
Iruma,35.8358,139.3911,145303,Iruma
Asaka,35.7972,139.5939,143915,Asaka
Kakamigahara,35.3988,136.8484,143641,Kakamigahara
Ashikaga,36.3594,139.4531,142882,Ashikaga
Toda,35.8176,139.6779,142352,Toda
Tsuchiura,36.0816,140.2041,142181,Tsuchiura
Okinawa,26.3343,127.8057,142094,Okinawa
Misato,35.8301,139.8723,141913,Misato
Moriguchi,34.7358,135.5617,141849,Moriguchi
Fujita,34.8674,138.2577,140947,Fujita
Fukayachō,36.1975,139.2815,140930,Fukayacho
Kusatsu,35.0131,135.96,139913,Kusatsu
Minō,34.8269,135.4706,139118,Mino
Ishizaki,38.4342,141.3027,138856,Ishizaki
Kuwana,35.0622,136.6837,138798,Kuwana
Koga,36.1782,139.7554,138237,Koga
Shūnan,34.0551,131.8062,137899,Shunan
Minoo,34.8269,135.4704,136976,Minoo
Yaizu,34.8669,138.3233,136028,Yaizu
Kisarazu,35.376,139.9169,136023,Kisarazu
Ebina,35.4464,139.3908,135557,Ebina
Inazawa,35.2481,136.7802,134938,Inazawa
Ōme,35.7902,139.2549,131895,Ome
Isahaya,32.8466,130.0373,131467,Isahaya
Zama,35.4886,139.4076,130753,Zama
Narita,35.7767,140.3183,130689,Narita
Abiko,35.8642,140.0284,130290,Abiko
Onomichi,34.4091,133.2054,130143,Onomichi
Kokubunji,35.7103,139.4632,129619,Kokubunji
Iwakuni,34.1647,132.1845,127512,Iwakuni
Seto,35.224,137.084,127327,Seto
Ōmiyachō,35.2221,138.6216,127252,Omiyacho
Koganei,35.6995,139.503,127226,Koganei
Ōsaki,38.5771,140.9556,127135,Osaki
Iizuka,33.6136,130.6611,126136,Iizuka
Kirishima,31.741,130.7632,123812,Kirishima
Ise,34.4875,136.7093,122432,Ise
Uruma,26.3792,127.8574,122371,Uruma
Kashiwara,34.5094,135.7925,121604,Kashiwara
Tsuruoka,38.7272,139.8267,121371,Tsuruoka
Honmachi,32.5074,130.6019,120389,Honmachi
Ebetsu,43.1037,141.5362,119819,Ebetsu
Daitōchō,34.712,135.6234,118812,Daitocho
Kadoma,34.7391,135.5869,118319,Kadoma
Aizuwakamatsu,37.4948,139.9298,117924,Aizuwakamatsu
Matsubara,34.5779,135.5518,117811,Matsubara
Nobeoka,32.5823,131.6649,117711,Nobeoka
Handa,34.8919,136.9381,117544,Handa
Kōnosu,36.0659,139.5222,116777,Konosu
Ikoma,34.6919,135.7005,116518,Ikoma
Honchō,35.758,139.5299,116477,Honcho
Karatsu,33.4501,129.9683,116052,Karatsu
Nagahama,35.3814,136.2754,116043,Nagahama
Beppu,33.2846,131.4913,115992,Beppu
Urasoe,26.2457,127.7219,115855,Urasoe
Nasushiobara,36.9617,140.0461,115602,Nasushiobara
Kōenchō,43.8031,143.8947,115441,Koencho
Niihama,33.9603,133.2834,114971,Niihama
Hōfu,34.0466,131.5721,114846,Hofu
Sano,36.3144,139.5783,114842,Sano
Hatsukaichi,34.3482,132.3316,114699,Hatsukaichi
Kakegawa,34.7687,137.9984,113954,Kakegawa
Fujimino,35.8795,139.5198,113490,Fujimino
Hikone,35.2744,136.2597,113191,Hikone
Tōkai,35.0231,136.9022,113144,Tokai
Kazo,36.1204,139.6002,112792,Kazo
Ōshū,39.1297,141.0947,112531,Oshu
Higashiōmi,35.1126,136.2075,112459,Higashiomi
Akishima,35.7057,139.3535,112110,Akishima
Fujimi,35.8566,139.5492,111858,Fujimi
Ichinoseki,38.9347,141.1266,111824,Ichinoseki
Kasuga,33.5242,130.4564,111144,Kasuga
Shirayamamachi,36.5144,136.5656,110135,Shirayamamachi
Ōmuta,33.0303,130.446,110054,Omuta
Kamagaya,35.7768,140.0008,109370,Kamagaya
Sandachō,34.89,135.2254,109243,Sandacho
Marugame,34.2894,133.7976,109165,Marugame
Tondabayashichō,34.4996,135.5973,108735,Tondabayashicho
Komatsu,36.4084,136.4456,108509,Komatsu
Habikino,34.5579,135.6063,108370,Habikino
Mineshita,35.1394,138.9489,107416,Mineshita
Tajimi,35.3339,137.1125,106746,Tajimi
Saijō,33.9196,133.1812,106016,Saijo
Kiryū,36.4053,139.3305,105751,Kiryu
Ikeda,34.8217,135.4285,104148,Ikeda
Toride,35.9115,140.0504,103908,Toride
