city,lat,lng,population,city_clean
Ōamishirasato,35.5217,140.321,47722,Oamishirasato
Tonami,36.6475,136.9621,47638,Tonami
Ono,34.8487,134.9342,47609,Ono
Hitachi-ota,36.5383,140.5309,47586,Hitachi-ota
Okaya,36.0671,138.0493,47499,Okaya
Nanto,36.5574,136.8755,47390,Nanto
Gosen,37.7444,139.1826,47262,Gosen
Kikugawa,34.7578,138.0848,47194,Kikugawa
Takeochō-takeo,33.1938,130.0191,47136,Takeocho-takeo
Tomioka,36.2599,138.8899,46928,Tomioka
Noboribetsu,42.4656,141.0758,46838,Noboribetsu
Sanuki,34.3253,134.1721,46723,Sanuki
Hioki,31.6337,130.4024,46671,Hioki
Fujiyoshida,35.4875,138.8077,46659,Fujiyoshida
Nakai,33.5757,133.6415,46567,Nakai
Kurayoshi,35.4301,133.8255,46269,Kurayoshi
Takashima,35.353,136.0357,46246,Takashima
Izunokuni,35.0277,138.9289,46212,Izunokuni
Kasaoka,34.5071,133.5074,46080,Kasaoka
Kikuchi,32.9794,130.8133,45971,Kikuchi
Tamagawa,33.6389,130.8061,45946,Tamagawa
Hokota,36.1587,140.5164,45910,Hokota
Shima,34.3282,136.8297,45834,Shima
Kariya,34.755,134.3904,45747,Kariya
Hokuto,41.8241,140.653,45661,Hokuto
Kitakata,37.6511,139.8748,45590,Kitakata
Numata,36.6439,139.0428,45132,Numata
Inuma,36.0001,139.6242,45065,Inuma
Sakura,36.6853,139.9664,44777,Sakura
Masuda,34.6748,131.8428,44474,Masuda
Iwanuma,38.1043,140.8702,44340,Iwanuma
Nanjō,26.1633,127.7706,44318,Nanjo
Ogimachi,33.294,130.199,44120,Ogimachi
Hagi,34.4081,131.3992,44118,Hagi
Goshikichō-aihara-minamidani,34.2944,134.7798,43914,Goshikicho-aihara-minamidani
Himi,36.8559,136.973,43747,Himi
Shinshiro,34.8989,137.4977,43620,Shinshiro
Kumatori,34.4014,135.3558,43570,Kumatori
Hokuto,35.7765,138.4236,43452,Hokuto
Inabe,35.1157,136.5614,43114,Inabe
Kobayashi,31.9967,130.9726,43114,Kobayashi
Makinohara,34.74,138.2246,43061,Makinohara
Yatomi,35.11,136.7247,43038,Yatomi
Shimabara,32.7881,130.3702,42858,Shimabara
Nakano,36.742,138.3695,42664,Nakano
Awaji,34.4397,134.9149,42597,Awaji
Akaiwa,34.7554,134.0188,42341,Akaiwa
Kasai,34.9278,134.8419,42290,Kasai
Futtsu,35.3041,139.857,42280,Futtsu
Maniwa,35.0756,133.7527,42259,Maniwa
Uozu,36.8194,137.3977,42224,Uozu
Minamishimabara,32.6598,130.2978,41903,Minamishimabara
Miura,35.1442,139.6207,41807,Miura
Ōizumi,36.2478,139.4049,41681,Oizumi
Yuzawa,39.1644,140.4958,41601,Yuzawa
Shimotsuma,36.1844,139.9684,41499,Shimotsuma
Kitaibaraki,36.8019,140.751,41352,Kitaibaraki
Komoro,36.3392,138.435,41066,Komoro
Sumoto,34.3425,134.8956,41056,Sumoto
Amami,28.3456,129.5022,41049,Amami
Unzen,32.8352,130.1875,41018,Unzen
Nanbei,35.3702,139.226,40947,Nanbei
Katō,34.9186,134.9734,40728,Kato
Tamba-Sasayama,35.0757,135.2192,40708,Tamba-Sasayama
Agano,37.8344,139.226,40382,Agano
Itoigawa,37.039,137.8627,40200,Itoigawa
Kasumigaura,36.1517,140.2371,39993,Kasumigaura
Sagae,38.3809,140.276,39854,Sagae
Kurobeshin,36.8714,137.4478,39718,Kurobeshin
Nakama,33.8208,130.7086,39634,Nakama
Takikawa,43.5578,141.9104,39266,Takikawa
Mitsuke,37.5316,138.9127,39024,Mitsuke
Higashimatsushima,38.4264,141.2111,38880,Higashimatsushima
Inashiki,35.9565,140.3239,38853,Inashiki
Hitachiomiya,36.5425,140.4109,38836,Hitachiomiya
Gujō,35.7486,136.9643,38747,Gujo
Yoshinogawa,34.0663,134.3586,38726,Yoshinogawa
Sakuragawa,36.3273,140.0906,38677,Sakuragawa
Ibusuki,31.2528,130.6331,38571,Ibusuki
Nishiwaki,34.9829,134.9795,38479,Nishiwaki
Miyoshidai,35.8284,139.5265,38361,Miyoshidai
Misawa,40.6831,141.3691,38351,Misawa
Maibara,35.3154,136.284,38259,Maibara
Ibara,34.5977,133.4638,38236,Ibara
Mizunami,35.3678,137.2537,37705,Mizunami
Katsuragi,34.4892,135.7264,37225,Katsuragi
Kanie,35.1322,136.7868,36782,Kanie
Yasugichō,35.4314,133.2509,36713,Yasugicho
Fuchūchō,34.5734,133.2314,36326,Fuchucho
Komatsushimachō,34.0049,134.5906,36123,Komatsushimacho
Uto,32.688,130.6598,35947,Uto
Usuki,33.1261,131.8053,35681,Usuki
Sōsa,35.7223,140.549,35674,Sosa
Miyajima,33.1524,130.4748,35665,Miyajima
Awa,34.0824,134.2358,35631,Awa
Setouchi,34.6649,134.0928,35624,Setouchi
Isumi,35.2539,140.3852,35570,Isumi
Unnan,35.3077,132.9003,35366,Unnan
Aizumi,34.1266,134.4951,35269,Aizumi
Kamata,33.5984,130.7194,35208,Kamata
Kaizu,35.2205,136.6366,34960,Kaizu
Kahoku,36.7198,136.7067,34936,Kahoku
Iyo,33.7574,132.7037,34927,Iyo
Tamura,37.4406,140.5762,34921,Tamura
Seiyo,33.3626,132.5109,34898,Seiyo
Sōma,37.7967,140.9196,34645,Soma
Abashiri,44.0206,144.2736,34640,Abashiri
Ofunato,39.0819,141.7089,34558,Ofunato
Nishihara,26.2536,127.7436,34463,Nishihara
Motosu,35.4831,136.6788,34453,Motosu
Gotō,32.6956,128.8408,34425,Goto
Kuji,40.1905,141.7756,34418,Kuji
Shinjō,38.765,140.3016,34284,Shinjo
Fusō,35.3591,136.9132,34268,Fuso
Atami,35.096,139.0716,34233,Atami
Tōon,33.791,132.8722,34195,Toon
Shisō,35.0044,134.5494,34116,Shiso
Uonuma,37.2364,138.9638,34112,Uonuma
Minamishiro,36.0227,139.7227,34012,Minamishiro
Harima,34.7152,134.8681,33822,Harima
Ojiya,37.3144,138.7951,33729,Ojiya
Date,42.4719,140.8647,33404,Date
Asakuchi,34.5279,133.5849,33382,Asakuchi
Shiroishi,38.0025,140.6199,33330,Shiroishi
Minamikyūshū,31.3783,130.4417,33115,Minamikyushu
Bungoōno,32.9775,131.5842,33066,Bungoono
Kamaishi,39.2758,141.8857,33061,Kamaishi
Wakabadai,45.3325,141.8283,33036,Wakabadai
Yamanashi,35.6934,138.6869,32925,Yamanashi
Yufu,33.1801,131.4268,32698,Yufu
Ōharu,35.1751,136.8201,32590,Oharu
Shimanto,32.9913,132.9337,32551,Shimanto
Minamisatsuma,31.4166,130.3234,32503,Minamisatsuma
Omaezaki,34.6135,138.2114,32422,Omaezaki
Shōbara,34.8578,133.0173,32343,Shobara
Namerikawa,36.7644,137.3412,32317,Namerikawa
Nagato,34.3705,131.1826,32183,Nagato
Kōnan,33.5642,133.7005,32123,Konan
Odamachi,35.1921,132.4994,32102,Odamachi
Bizen,34.7451,134.1881,32019,Bizen
Sakaiminato,35.5432,133.232,32012,Sakaiminato
Namegata,35.9905,140.489,31828,Namegata
Komagane,35.7278,137.9478,31763,Komagane
Maebara,35.114,140.0988,31722,Maebara
Zentsujichó,34.2285,133.7871,31620,Zentsujicho
Kuroishi,40.6426,140.5946,31604,Kuroishi
Katagami,39.8573,140.013,31558,Katagami
Ayabe,35.2989,135.2588,31537,Ayabe
Yawatahama-shi,33.4629,132.4233,31385,Yawatahama-shi
Hitoyoshi,32.21,130.7625,31332,Hitoyoshi
Shimotoba,34.8838,135.663,31292,Shimotoba
Yaita,36.8067,139.9241,31145,Yaita
Nantan,35.1074,135.4703,31075,Nantan
Tsuruno,40.87,140.3497,30760,Tsuruno
Yunoshima,35.8059,137.2441,30641,Yunoshima
Yanai,33.9639,132.1016,30461,Yanai
Ono,35.9797,136.4875,30449,Ono
Motomiya,37.5132,140.3939,30401,Motomiya
Kanzakimachi-kanzaki,33.3107,130.3731,30329,Kanzakimachi-kanzaki
Hirakawachō,40.5841,140.5665,30326,Hirakawacho
Nanyō,38.0551,140.1484,30235,Nanyo
Tsuru,35.5515,138.9054,30193,Tsuru
Kaminoyama,38.1496,140.2678,29974,Kaminoyama
Kaita,34.3722,132.536,29793,Kaita
Kitaakita,40.226,140.3707,29696,Kitaakita
Shibushi,31.4772,131.0999,29267,Shibushi
Tōmi,36.3594,138.3304,29213,Tomi
Hanawa,40.2158,140.7885,28929,Hanawa
Takahashi,34.791,133.6168,28825,Takahashi
Hirado,33.3681,129.5537,28822,Hirado
Asago,35.3398,134.8531,28802,Asago
Oyabe,36.6755,136.8687,28634,Oyabe
Saito,32.1085,131.4014,28618,Saito
Izu,34.9765,138.9468,28493,Izu
Tsushima,34.2028,129.2875,28456,Tsushima
Aioi,34.8036,134.4681,28350,Aioi
Higashikagawa,34.2438,134.3589,28305,Higashikagawa
Chatan,26.32,127.7639,28167,Chatan
Nirasaki,35.7088,138.4462,28150,Nirasaki
Obama,35.4956,135.7466,28142,Obama
Mima,34.0533,134.1698,28087,Mima
Tainai,38.0597,139.4103,28004,Tainai
Kakuda,37.977,140.7821,27848,Kakuda
Mizumaki,33.8548,130.695,27822,Mizumaki
Ōuda-yamaguchi,34.528,135.9522,27747,Ouda-yamaguchi
Kashima,33.1038,130.0986,27710,Kashima
Kitsuki,33.417,131.6161,27668,Kitsuki
Ninomiya,35.2995,139.2555,27536,Ninomiya
Niimi,34.977,133.4703,27526,Niimi
Takahagi,36.7187,140.7168,27522,Takahagi
Shingū,33.7242,135.9925,27491,Shingu
Ukiha,33.3474,130.755,27474,Ukiha
Itako,35.9471,140.5554,27373,Itako
Akitakata,34.6662,132.7043,27249,Akitakata
Nemuro,43.33,145.5829,27109,Nemuro
Ichikikushikino,31.7146,130.2719,27080,Ichikikushikino
Nayoro,44.3559,142.4632,27062,Nayoro
Gojō,34.3521,135.6935,26998,Gojo
Miyanaga,33.7237,130.6674,26690,Miyanaga
Tōno,39.3277,141.5335,26110,Tono
Awara,36.2239,136.2039,26024,Awara
Kamo,37.6663,139.0402,25971,Kamo
Ōtake,34.2144,132.2192,25955,Otake
Ōmachi,36.503,137.8511,25883,Omachi
Nagai,38.1075,140.0405,25836,Nagai
Kunisakimachi-tsurugawa,33.5633,131.7322,25790,Kunisakimachi-tsurugawa
Ginan,35.3896,136.7825,25752,Ginan
Arida,34.083,135.1277,25737,Arida
Tosa,33.4961,133.4254,25665,Tosa
Kami,33.5705,133.7416,25562,Kami
Mimasaka,35.0086,134.1486,25497,Mimasaka
Yamagata,35.5061,136.7814,25325,Yamagata
Saikaichō-kobagō,33.0651,129.6891,25184,Saikaicho-kobago
Ninohe,40.2713,141.3048,25083,Ninohe
