k,inertia,silhouette_score
2,468825.02770846756,0.44447683360805834
3,365985.9496907505,0.44447683360805834
4,272843.06256368075,0.4869796504269287
5,218054.3447402696,0.40740924216333924
6,167954.7753395254,0.4399861920997572
7,145722.2356030913,0.3530215579062148
8,130530.6703820549,0.3656508636611089
9,111691.55835508216,0.36727367526334503
10,101951.41679939,0.37189276133801485
