k,inertia,silhouette_score
2,468825.02770846867,0.44447683360805834
3,365985.9496907508,0.44447683360805834
4,272843.0625636809,0.4869796504269287
5,218054.34474026953,0.40740924216333924
6,167954.77533952516,0.43998619209975715
7,145722.23560309096,0.3530215579062148
8,130530.67038205452,0.3656508636611089
9,111691.55835508235,0.36727367526334503
10,101951.41679939012,0.37189276133801485
